command,action
run right,move_right
turn right,move_right
shift right,move_right
move to the right,move_right
take a step right,move_right
head right,move_right
"if you're on the left, go right",move_right
"don't go left, move right",move_right
please move to the right,move_right
take two steps right,move_right
"if you hit a wall, go right",move_right
move slightly to the right,move_right
quickly shift right,move_right
make sure to go right,move_right
run towards the right,move_right
"don't walk left, go right",move_right
"if there's an obstacle, move right",move_right
start walking right,move_right
step to your right side,move_right
"don't head left, move right",move_right
move to the right as fast as possible,move_right
adjust your position to the right,move_right
"if you see danger, go right",move_right
head in the direction of the right,move_right
continue to move right,move_right
shift towards the right,move_right
move over to the right,move_right
run towards the right side,move_right
go right if there's a path,move_right
head right until you reach the end,move_right
"don't turn left, just move right",move_right
"if you're not sure, move right",move_right
go all the way right,move_right
shift right to avoid danger,move_right
run straight right,move_right
take one step right,move_right
keep heading right,move_right
move right immediately,move_right
"do not walk to the left, move right",move_right
move towards the right corner,move_right
take a small step right,move_right
head right and keep going,move_right
move right until you see the wall,move_right
"don't go straight, just move right",move_right
make sure you move right,move_right
turn and move right,move_right
shift over to the right side,move_right
move all the way to the right side,move_right
go right as much as possible,move_right
continue moving right,move_right
"if you're lost, go right",move_right
walk right until you reach the end,move_right
turn right and move forward,move_right
shift right if you're in trouble,move_right
"don't hesitate, go right",move_right
head right until you stop,move_right
"avoid going left, just move right",move_right
immediately step right,move_right
move to your right,move_right
shift to the right quickly,move_right
run right until you reach safety,move_right
take a step to your right side,move_right
move right when you're unsure,move_right
walk right if there's space,move_right
shift right as much as possible,move_right
run straight to the right,move_right
move right until further notice,move_right
step right and avoid obstacles,move_right
head to the right side of the path,move_right
"don't look back, just go right",move_right
"if the left side is blocked, go right",move_right
run right and don't stop,move_right
make your way right,move_right
move right once you start,move_right
turn right and keep moving,move_right
go right until the path ends,move_right
move right to avoid any trouble,move_right
run right if it's safe,move_right
move right cautiously,move_right
step right to dodge danger,move_right
keep shifting right,move_right
move right as soon as possible,move_right
walk right without stopping,move_right
"if unsure, go right",move_right
turn right when you need to move,move_right
shift right to get away,move_right
"if you're confused, just go right",move_right
move right without hesitation,move_right
run right until you reach the destination,move_right
take a quick step right,move_right
make your way to the right side,move_right
keep walking right,move_right
shift right to avoid obstacles,move_right
jump,jump
leap,jump
hop,jump
make a jump,jump
start jumping,jump
take a big jump,jump
jump up,jump
hop forward,jump
jump high,jump
leap forward,jump
make a small jump,jump
take a quick jump,jump
jump as far as you can,jump
jump over,jump
"if you need to jump, do it",jump
jump up quickly,jump
hop over the obstacle,jump
make sure to jump,jump
jump straight up,jump
"if you're stuck, jump",jump
take a leap,jump
leap across,jump
jump as fast as possible,jump
don't hesitate to jump,jump
jump now,jump
jump towards the left,jump
jump towards the right,jump
jump forward immediately,jump
make a giant jump,jump
hop across,jump
take a huge jump,jump
jump in the air,jump
leap high,jump
hop over,jump
jump over the pit,jump
take a jump forward,jump
jump over the gap,jump
hop and go forward,jump
jump if there's danger,jump
leap if needed,jump
jump quickly,jump
hop quickly,jump
make a rapid jump,jump
jump without hesitation,jump
take a small hop,jump
jump straight ahead,jump
take a leap of faith,jump
jump to the side,jump
hop left,jump
hop right,jump
leap and go,jump
make a quick jump,jump
jump high if needed,jump
jump across,jump
take a fast leap,jump
jump and continue,jump
make a jump forward,jump
jump immediately,jump
"if you see an obstacle, jump",jump
make a long jump,jump
hop if you must,jump
jump far,jump
jump across the obstacle,jump
jump when you can,jump
take a big leap,jump
leap forward as fast as you can,jump
jump to avoid it,jump
make a leap forward,jump
take a small hop forward,jump
jump as far as possible,jump
make a quick hop,jump
jump forward as soon as possible,jump
take a huge leap,jump
jump if the path is blocked,jump
jump forward if you see an obstacle,jump
take a jump to the left,jump
hop forward quickly,jump
jump over if needed,jump
hop quickly over,jump
leap ahead,jump
make a long leap,jump
jump if you see danger,jump
take a jump and move forward,jump
jump as quickly as possible,jump
make a big leap,jump
jump to dodge,jump
hop across quickly,jump
take a leap of faith forward,jump
jump immediately over,jump
leap if there's no other option,jump
jump if you see a gap,jump
jump far forward,jump
take a hop over,jump
jump in place,jump
jump and keep moving,jump
leap as far as possible,jump
change color,change_color
switch color,change_color
alter the color,change_color
shift color,change_color
change to a new color,change_color
switch to a different color,change_color
set a new color,change_color
adjust the color,change_color
modify the color,change_color
pick a different color,change_color
select a new color,change_color
transform the color,change_color
change the appearance,change_color
update the color,change_color
change to another color,change_color
switch your color,change_color
adjust to a new color,change_color
shift to another color,change_color
pick a new color,change_color
transform into a different color,change_color
alter your appearance,change_color
change your current color,change_color
set the color to something new,change_color
modify your appearance,change_color
"if you can, change color",change_color
switch into a different color,change_color
transform your color,change_color
adjust the color setting,change_color
choose a new color,change_color
pick another color,change_color
shift your color,change_color
transform into another color,change_color
select a different color,change_color
change your color quickly,change_color
"if needed, change color",change_color
alter your color immediately,change_color
make sure to change the color,change_color
change color to something else,change_color
adjust color settings,change_color
switch the current color,change_color
transform into a new color,change_color
"if necessary, change color",change_color
update your color,change_color
change into a new color,change_color
shift into a different color,change_color
alter your color instantly,change_color
change your color right away,change_color
switch the color immediately,change_color
"if unsure, change color",change_color
modify the current color,change_color
set a brand new color,change_color
pick a fresh color,change_color
change to a random color,change_color
switch your color as needed,change_color
update to another color,change_color
shift your appearance,change_color
alter the color setting,change_color
transform the appearance instantly,change_color
make a color change,change_color
"if it's possible, change color",change_color
quickly switch colors,change_color
change to any color you like,change_color
modify color instantly,change_color
adjust your appearance with a new color,change_color
alter color to something different,change_color
shift the color as soon as possible,change_color
change the color without hesitation,change_color
pick a new color and go,change_color
transform to a fresh new color,change_color
adjust the current color setting,change_color
"if you can, switch color",change_color
change color immediately,change_color
switch to any new color,change_color
adjust the hue,change_color
change the shade,change_color
select another hue,change_color
change into any available color,change_color
pick a color and change,change_color
shift into a new color immediately,change_color
choose the next available color,change_color
alter your hue quickly,change_color
change to a brighter color,change_color
switch to a darker color,change_color
adjust the color scheme,change_color
change the appearance as soon as possible,change_color
"if you must, change color",change_color
shift into the next color available,change_color
transform the hue immediately,change_color
modify the hue instantly,change_color
alter color settings quickly,change_color
change the current hue,change_color
switch your current color as fast as possible,change_color
update the color scheme,change_color
make a quick color change,change_color
motivate left,move_left
prompt left,move_left
impress left,move_left
proceed left,move_left
travel left,move_left
strike left,move_left
act left,move_left
move lead,move_left
move leave,move_left
move go out,move_left
move allow,move_left
move pass on,move_left
move allow for,move_left
move go away,move_left
move get out,move_left
move give,move_left
move impart,move_left
move result,move_left
tread left,move_left
abuse left,move_left
step lead,move_left
step leave,move_left
step go out,move_left
step allow,move_left
step pass on,move_left
step allow for,move_left
step go away,move_left
step get out,move_left
step give,move_left
step impart,move_left
step result,move_left
pass away left,move_left
lead left,move_left
function left,move_left
fit left,move_left
survive left,move_left
start left,move_left
live left,move_left
last left,move_left
belong left,move_left
endure left,move_left
sound left,move_left
get left,move_left
depart left,move_left
become left,move_left
work left,move_left
fail left,move_left
extend left,move_left
operate left,move_left
die left,move_left
pass left,move_left
go away left,move_left
perish left,move_left
go lead,move_left
go leave,move_left
go go out,move_left
go allow,move_left
go pass on,move_left
go allow for,move_left
go go away,move_left
go get out,move_left
go give,move_left
go impart,move_left
go result,move_left
walk lead,move_left
walk leave,move_left
walk go out,move_left
walk allow,move_left
walk pass on,move_left
walk allow for,move_left
walk go away,move_left
walk get out,move_left
walk give,move_left
walk impart,move_left
walk result,move_left
campaign left,move_left
flow left,move_left
tend left,move_left
race left,move_left
range left,move_left
prevail left,move_left
track down left,move_left
persist left,move_left
hunt left,move_left
incline left,move_left
run away left,move_left
melt left,move_left
lean left,move_left
run lead,move_left
run leave,move_left
run go out,move_left
run allow,move_left
run pass on,move_left
run allow for,move_left
run go away,move_left
run get out,move_left
run give,move_left
run impart,move_left
run result,move_left
plow left,move_left
bend left,move_left
grow left,move_left
reverse left,move_left
twist left,move_left
release left,move_left
call on left,move_left
turn lead,move_left
turn leave,move_left
turn go out,move_left
turn allow,move_left
turn pass on,move_left
turn allow for,move_left
turn go away,move_left
turn get out,move_left
turn give,move_left
turn impart,move_left
turn result,move_left
lurch left,move_left
change left,move_left
budge left,move_left
stir left,move_left
transfer left,move_left
pitch left,move_left
shift lead,move_left
shift leave,move_left
shift go out,move_left
shift allow,move_left
shift pass on,move_left
shift allow for,move_left
shift go away,move_left
shift get out,move_left
shift give,move_left
shift impart,move_left
shift result,move_left
motivate to the left,move_left
go to the left,move_left
prompt to the left,move_left
impress to the left,move_left
proceed to the left,move_left
travel to the left,move_left
strike to the left,move_left
act to the left,move_left
move to the lead,move_left
move to the leave,move_left
move to the go out,move_left
move to the allow,move_left
move to the pass on,move_left
move to the allow for,move_left
move to the go away,move_left
move to the get out,move_left
move to the give,move_left
move to the impart,move_left
move to the result,move_left
aim a step left,move_left
lead a step left,move_left
demand a step left,move_left
fill a step left,move_left
involve a step left,move_left
carry a step left,move_left
shoot a step left,move_left
consume a step left,move_left
have a step left,move_left
study a step left,move_left
direct a step left,move_left
look at a step left,move_left
call for a step left,move_left
learn a step left,move_left
guide a step left,move_left
take on a step left,move_left
require a step left,move_left
choose a step left,move_left
read a step left,move_left
deal a step left,move_left
consider a step left,move_left
claim a step left,move_left
need a step left,move_left
acquire a step left,move_left
get a step left,move_left
pick out a step left,move_left
accept a step left,move_left
select a step left,move_left
remove a step left,move_left
assume a step left,move_left
bring a step left,move_left
take away a step left,move_left
necessitate a step left,move_left
take a tread left,move_left
take a abuse left,move_left
take a step lead,move_left
take a step leave,move_left
take a step go out,move_left
take a step allow,move_left
take a step pass on,move_left
take a step allow for,move_left
take a step go away,move_left
take a step get out,move_left
take a step give,move_left
take a step impart,move_left
take a step result,move_left
maneuver left,move_left
guide left,move_left
steer left,move_left
point left,move_left
head lead,move_left
head leave,move_left
head go out,move_left
head allow,move_left
head pass on,move_left
head allow for,move_left
head go away,move_left
head get out,move_left
head give,move_left
head impart,move_left
head result,move_left
"if you're on the right, pass away left",move_left
"if you're on the right, lead left",move_left
"if you're on the right, function left",move_left
"if you're on the right, fit left",move_left
"if you're on the right, survive left",move_left
"if you're on the right, start left",move_left
"if you're on the right, live left",move_left
"if you're on the right, last left",move_left
"if you're on the right, belong left",move_left
"if you're on the right, move left",move_left
"if you're on the right, endure left",move_left
"if you're on the right, proceed left",move_left
"if you're on the right, run left",move_left
"if you're on the right, sound left",move_left
"if you're on the right, get left",move_left
"if you're on the right, depart left",move_left
"if you're on the right, become left",move_left
"if you're on the right, work left",move_left
"if you're on the right, fail left",move_left
"if you're on the right, extend left",move_left
"if you're on the right, operate left",move_left
"if you're on the right, die left",move_left
"if you're on the right, pass left",move_left
"if you're on the right, travel left",move_left
"if you're on the right, go away left",move_left
"if you're on the right, perish left",move_left
"if you're on the right, go lead",move_left
"if you're on the right, go leave",move_left
"if you're on the right, go go out",move_left
"if you're on the right, go allow",move_left
"if you're on the right, go pass on",move_left
"if you're on the right, go allow for",move_left
"if you're on the right, go go away",move_left
"if you're on the right, go get out",move_left
"if you're on the right, go give",move_left
"if you're on the right, go impart",move_left
"if you're on the right, go result",move_left
"don't pass away right, move left",move_left
"don't lead right, move left",move_left
"don't function right, move left",move_left
"don't fit right, move left",move_left
"don't survive right, move left",move_left
"don't start right, move left",move_left
"don't live right, move left",move_left
"don't last right, move left",move_left
"don't belong right, move left",move_left
"don't move right, move left",move_left
"don't endure right, move left",move_left
"don't proceed right, move left",move_left
"don't run right, move left",move_left
"don't sound right, move left",move_left
"don't get right, move left",move_left
"don't depart right, move left",move_left
"don't become right, move left",move_left
"don't work right, move left",move_left
"don't fail right, move left",move_left
"don't extend right, move left",move_left
"don't operate right, move left",move_left
"don't die right, move left",move_left
"don't pass right, move left",move_left
"don't travel right, move left",move_left
"don't go away right, move left",move_left
"don't perish right, move left",move_left
"don't go right, motivate left",move_left
"don't go right, go left",move_left
"don't go right, prompt left",move_left
"don't go right, impress left",move_left
"don't go right, proceed left",move_left
"don't go right, travel left",move_left
"don't go right, strike left",move_left
"don't go right, act left",move_left
"don't go right, move lead",move_left
"don't go right, move leave",move_left
"don't go right, move go out",move_left
"don't go right, move allow",move_left
"don't go right, move pass on",move_left
"don't go right, move allow for",move_left
"don't go right, move go away",move_left
"don't go right, move get out",move_left
"don't go right, move give",move_left
"don't go right, move impart",move_left
"don't go right, move result",move_left
delight move to the left,move_left
please motivate to the left,move_left
please go to the left,move_left
please prompt to the left,move_left
please impress to the left,move_left
please proceed to the left,move_left
please travel to the left,move_left
please strike to the left,move_left
please act to the left,move_left
please move to the lead,move_left
please move to the leave,move_left
please move to the go out,move_left
please move to the allow,move_left
please move to the pass on,move_left
please move to the allow for,move_left
please move to the go away,move_left
please move to the get out,move_left
please move to the give,move_left
please move to the impart,move_left
please move to the result,move_left
aim two steps left,move_left
lead two steps left,move_left
demand two steps left,move_left
fill two steps left,move_left
involve two steps left,move_left
carry two steps left,move_left
shoot two steps left,move_left
consume two steps left,move_left
have two steps left,move_left
study two steps left,move_left
direct two steps left,move_left
look at two steps left,move_left
call for two steps left,move_left
learn two steps left,move_left
guide two steps left,move_left
take on two steps left,move_left
require two steps left,move_left
choose two steps left,move_left
read two steps left,move_left
deal two steps left,move_left
consider two steps left,move_left
claim two steps left,move_left
need two steps left,move_left
acquire two steps left,move_left
get two steps left,move_left
pick out two steps left,move_left
accept two steps left,move_left
select two steps left,move_left
remove two steps left,move_left
assume two steps left,move_left
bring two steps left,move_left
take away two steps left,move_left
necessitate two steps left,move_left
take two step left,move_left
take two tread left,move_left
take two abuse left,move_left
take two steps lead,move_left
take two steps leave,move_left
take two steps go out,move_left
take two steps allow,move_left
take two steps pass on,move_left
take two steps allow for,move_left
take two steps go away,move_left
take two steps get out,move_left
take two steps give,move_left
take two steps impart,move_left
take two steps result,move_left
"if you make a wall, go left",move_left
"if you reach a wall, go left",move_left
"if you shoot a wall, go left",move_left
"if you murder a wall, go left",move_left
"if you arrive at a wall, go left",move_left
"if you come to a wall, go left",move_left
"if you strike a wall, go left",move_left
"if you score a wall, go left",move_left
"if you attain a wall, go left",move_left
"if you gain a wall, go left",move_left
"if you hit a wall, pass away left",move_left
"if you hit a wall, lead left",move_left
"if you hit a wall, function left",move_left
"if you hit a wall, fit left",move_left
"if you hit a wall, survive left",move_left
"if you hit a wall, start left",move_left
"if you hit a wall, live left",move_left
"if you hit a wall, last left",move_left
"if you hit a wall, belong left",move_left
"if you hit a wall, move left",move_left
"if you hit a wall, endure left",move_left
"if you hit a wall, proceed left",move_left
"if you hit a wall, run left",move_left
"if you hit a wall, sound left",move_left
"if you hit a wall, get left",move_left
"if you hit a wall, depart left",move_left
"if you hit a wall, become left",move_left
"if you hit a wall, work left",move_left
"if you hit a wall, fail left",move_left
"if you hit a wall, extend left",move_left
"if you hit a wall, operate left",move_left
"if you hit a wall, die left",move_left
"if you hit a wall, pass left",move_left
"if you hit a wall, travel left",move_left
"if you hit a wall, go away left",move_left
"if you hit a wall, perish left",move_left
"if you hit a wall, go lead",move_left
"if you hit a wall, go leave",move_left
"if you hit a wall, go go out",move_left
"if you hit a wall, go allow",move_left
"if you hit a wall, go pass on",move_left
"if you hit a wall, go allow for",move_left
"if you hit a wall, go go away",move_left
"if you hit a wall, go get out",move_left
"if you hit a wall, go give",move_left
"if you hit a wall, go impart",move_left
"if you hit a wall, go result",move_left
motivate slightly to the left,move_left
go slightly to the left,move_left
prompt slightly to the left,move_left
impress slightly to the left,move_left
proceed slightly to the left,move_left
travel slightly to the left,move_left
strike slightly to the left,move_left
act slightly to the left,move_left
move slightly to the lead,move_left
move slightly to the leave,move_left
move slightly to the go out,move_left
move slightly to the allow,move_left
move slightly to the pass on,move_left
move slightly to the allow for,move_left
move slightly to the go away,move_left
move slightly to the get out,move_left
move slightly to the give,move_left
move slightly to the impart,move_left
move slightly to the result,move_left
quickly lurch left,move_left
quickly change left,move_left
quickly budge left,move_left
quickly stir left,move_left
quickly transfer left,move_left
quickly pitch left,move_left
quickly shift lead,move_left
quickly shift leave,move_left
quickly shift go out,move_left
quickly shift allow,move_left
quickly shift pass on,move_left
quickly shift allow for,move_left
quickly shift go away,move_left
quickly shift get out,move_left
quickly shift give,move_left
quickly shift impart,move_left
quickly shift result,move_left
take sure to go left,move_left
induce sure to go left,move_left
cause sure to go left,move_left
form sure to go left,move_left
hit sure to go left,move_left
arrive at sure to go left,move_left
have sure to go left,move_left
build sure to go left,move_left
lay down sure to go left,move_left
gain sure to go left,move_left
hold sure to go left,move_left
establish sure to go left,move_left
draw sure to go left,move_left
name sure to go left,move_left
create sure to go left,move_left
produce sure to go left,move_left
earn sure to go left,move_left
get to sure to go left,move_left
get sure to go left,move_left
stimulate sure to go left,move_left
work sure to go left,move_left
prepare sure to go left,move_left
do sure to go left,move_left
construct sure to go left,move_left
reach sure to go left,move_left
fix sure to go left,move_left
bring in sure to go left,move_left
cook sure to go left,move_left
give sure to go left,move_left
make sure to pass away left,move_left
make sure to lead left,move_left
make sure to function left,move_left
make sure to fit left,move_left
make sure to survive left,move_left
make sure to start left,move_left
make sure to live left,move_left
make sure to last left,move_left
make sure to belong left,move_left
make sure to move left,move_left
make sure to endure left,move_left
make sure to proceed left,move_left
make sure to run left,move_left
make sure to sound left,move_left
make sure to get left,move_left
make sure to depart left,move_left
make sure to become left,move_left
make sure to work left,move_left
make sure to fail left,move_left
make sure to extend left,move_left
make sure to operate left,move_left
make sure to die left,move_left
make sure to pass left,move_left
make sure to travel left,move_left
make sure to go away left,move_left
make sure to perish left,move_left
make sure to go lead,move_left
make sure to go leave,move_left
make sure to go go out,move_left
make sure to go allow,move_left
make sure to go pass on,move_left
make sure to go allow for,move_left
make sure to go go away,move_left
make sure to go get out,move_left
make sure to go give,move_left
make sure to go impart,move_left
make sure to go result,move_left
lead towards the left,move_left
campaign towards the left,move_left
flow towards the left,move_left
function towards the left,move_left
tend towards the left,move_left
race towards the left,move_left
range towards the left,move_left
prevail towards the left,move_left
track down towards the left,move_left
go towards the left,move_left
persist towards the left,move_left
hunt towards the left,move_left
incline towards the left,move_left
run away towards the left,move_left
work towards the left,move_left
melt towards the left,move_left
extend towards the left,move_left
operate towards the left,move_left
pass towards the left,move_left
lean towards the left,move_left
run towards the lead,move_left
run towards the leave,move_left
run towards the go out,move_left
run towards the allow,move_left
run towards the pass on,move_left
run towards the allow for,move_left
run towards the go away,move_left
run towards the get out,move_left
run towards the give,move_left
run towards the impart,move_left
run towards the result,move_left
"don't walk right, pass away left",move_left
"don't walk right, lead left",move_left
"don't walk right, function left",move_left
"don't walk right, fit left",move_left
"don't walk right, survive left",move_left
"don't walk right, start left",move_left
"don't walk right, live left",move_left
"don't walk right, last left",move_left
"don't walk right, belong left",move_left
"don't walk right, move left",move_left
"don't walk right, endure left",move_left
"don't walk right, proceed left",move_left
"don't walk right, run left",move_left
"don't walk right, sound left",move_left
"don't walk right, get left",move_left
"don't walk right, depart left",move_left
"don't walk right, become left",move_left
"don't walk right, work left",move_left
"don't walk right, fail left",move_left
"don't walk right, extend left",move_left
"don't walk right, operate left",move_left
"don't walk right, die left",move_left
"don't walk right, pass left",move_left
"don't walk right, travel left",move_left
"don't walk right, go away left",move_left
"don't walk right, perish left",move_left
"don't walk right, go lead",move_left
"don't walk right, go leave",move_left
"don't walk right, go go out",move_left
"don't walk right, go allow",move_left
"don't walk right, go pass on",move_left
"don't walk right, go allow for",move_left
"don't walk right, go go away",move_left
"don't walk right, go get out",move_left
"don't walk right, go give",move_left
"don't walk right, go impart",move_left
"don't walk right, go result",move_left
"if there's an obstacle, motivate left",move_left
"if there's an obstacle, go left",move_left
"if there's an obstacle, prompt left",move_left
"if there's an obstacle, impress left",move_left
"if there's an obstacle, proceed left",move_left
"if there's an obstacle, travel left",move_left
"if there's an obstacle, strike left",move_left
"if there's an obstacle, act left",move_left
"if there's an obstacle, move lead",move_left
"if there's an obstacle, move leave",move_left
"if there's an obstacle, move go out",move_left
"if there's an obstacle, move allow",move_left
"if there's an obstacle, move pass on",move_left
"if there's an obstacle, move allow for",move_left
"if there's an obstacle, move go away",move_left
"if there's an obstacle, move get out",move_left
"if there's an obstacle, move give",move_left
"if there's an obstacle, move impart",move_left
"if there's an obstacle, move result",move_left
pop walking left,move_left
start out walking left,move_left
originate walking left,move_left
begin walking left,move_left
take off walking left,move_left
jump walking left,move_left
depart walking left,move_left
initiate walking left,move_left
embark on walking left,move_left
set off walking left,move_left
set out walking left,move_left
commence walking left,move_left
start walk left,move_left
start walking lead,move_left
start walking leave,move_left
start walking go out,move_left
start walking allow,move_left
start walking pass on,move_left
start walking allow for,move_left
start walking go away,move_left
start walking get out,move_left
start walking give,move_left
start walking impart,move_left
start walking result,move_left
tread to your left side,move_left
abuse to your left side,move_left
step to your lead side,move_left
step to your leave side,move_left
step to your go out side,move_left
step to your allow side,move_left
step to your pass on side,move_left
step to your allow for side,move_left
step to your go away side,move_left
step to your get out side,move_left
step to your give side,move_left
step to your impart side,move_left
step to your result side,move_left
"don't maneuver right, move left",move_left
"don't guide right, move left",move_left
"don't steer right, move left",move_left
"don't point right, move left",move_left
"don't head right, motivate left",move_left
"don't head right, go left",move_left
"don't head right, prompt left",move_left
"don't head right, impress left",move_left
"don't head right, proceed left",move_left
"don't head right, travel left",move_left
"don't head right, strike left",move_left
"don't head right, act left",move_left
"don't head right, move lead",move_left
"don't head right, move leave",move_left
"don't head right, move go out",move_left
"don't head right, move allow",move_left
"don't head right, move pass on",move_left
"don't head right, move allow for",move_left
"don't head right, move go away",move_left
"don't head right, move get out",move_left
"don't head right, move give",move_left
"don't head right, move impart",move_left
"don't head right, move result",move_left
motivate to the left as fast as possible,move_left
go to the left as fast as possible,move_left
prompt to the left as fast as possible,move_left
impress to the left as fast as possible,move_left
proceed to the left as fast as possible,move_left
travel to the left as fast as possible,move_left
strike to the left as fast as possible,move_left
act to the left as fast as possible,move_left
move to the lead as fast as possible,move_left
move to the leave as fast as possible,move_left
move to the go out as fast as possible,move_left
move to the allow as fast as possible,move_left
move to the pass on as fast as possible,move_left
move to the allow for as fast as possible,move_left
move to the go away as fast as possible,move_left
move to the get out as fast as possible,move_left
move to the give as fast as possible,move_left
move to the impart as fast as possible,move_left
move to the result as fast as possible,move_left
adapt your position to the left,move_left
adjust your lay to the left,move_left
adjust your put to the left,move_left
adjust your set to the left,move_left
adjust your place to the left,move_left
adjust your position to the lead,move_left
adjust your position to the leave,move_left
adjust your position to the go out,move_left
adjust your position to the allow,move_left
adjust your position to the pass on,move_left
adjust your position to the allow for,move_left
adjust your position to the go away,move_left
adjust your position to the get out,move_left
adjust your position to the give,move_left
adjust your position to the impart,move_left
adjust your position to the result,move_left
"if you check danger, go left",move_left
"if you fancy danger, go left",move_left
"if you hear danger, go left",move_left
"if you visit danger, go left",move_left
"if you figure danger, go left",move_left
"if you realize danger, go left",move_left
"if you construe danger, go left",move_left
"if you witness danger, go left",move_left
"if you visualize danger, go left",move_left
"if you learn danger, go left",move_left
"if you envision danger, go left",move_left
"if you find danger, go left",move_left
"if you find out danger, go left",move_left
"if you assure danger, go left",move_left
"if you discover danger, go left",move_left
"if you experience danger, go left",move_left
"if you understand danger, go left",move_left
"if you take care danger, go left",move_left
"if you encounter danger, go left",move_left
"if you consider danger, go left",move_left
"if you pick up danger, go left",move_left
"if you examine danger, go left",move_left
"if you view danger, go left",move_left
"if you insure danger, go left",move_left
"if you go through danger, go left",move_left
"if you picture danger, go left",move_left
"if you meet danger, go left",move_left
"if you interpret danger, go left",move_left
"if you regard danger, go left",move_left
"if you watch danger, go left",move_left
"if you see to it danger, go left",move_left
"if you see danger, pass away left",move_left
"if you see danger, lead left",move_left
"if you see danger, function left",move_left
"if you see danger, fit left",move_left
"if you see danger, survive left",move_left
"if you see danger, start left",move_left
"if you see danger, live left",move_left
"if you see danger, last left",move_left
"if you see danger, belong left",move_left
"if you see danger, move left",move_left
"if you see danger, endure left",move_left
"if you see danger, proceed left",move_left
"if you see danger, run left",move_left
"if you see danger, sound left",move_left
"if you see danger, get left",move_left
"if you see danger, depart left",move_left
"if you see danger, become left",move_left
"if you see danger, work left",move_left
"if you see danger, fail left",move_left
"if you see danger, extend left",move_left
"if you see danger, operate left",move_left
"if you see danger, die left",move_left
"if you see danger, pass left",move_left
"if you see danger, travel left",move_left
"if you see danger, go away left",move_left
"if you see danger, perish left",move_left
"if you see danger, go lead",move_left
"if you see danger, go leave",move_left
"if you see danger, go go out",move_left
"if you see danger, go allow",move_left
"if you see danger, go pass on",move_left
"if you see danger, go allow for",move_left
"if you see danger, go go away",move_left
"if you see danger, go get out",move_left
"if you see danger, go give",move_left
"if you see danger, go impart",move_left
"if you see danger, go result",move_left
maneuver in the direction of the left,move_left
lead in the direction of the left,move_left
guide in the direction of the left,move_left
steer in the direction of the left,move_left
point in the direction of the left,move_left
head in the direction of the lead,move_left
head in the direction of the leave,move_left
head in the direction of the go out,move_left
head in the direction of the allow,move_left
head in the direction of the pass on,move_left
head in the direction of the allow for,move_left
head in the direction of the go away,move_left
head in the direction of the get out,move_left
head in the direction of the give,move_left
head in the direction of the impart,move_left
head in the direction of the result,move_left
go along to move left,move_left
stay on to move left,move_left
go forward to move left,move_left
keep to move left,move_left
preserve to move left,move_left
proceed to move left,move_left
remain to move left,move_left
cover to move left,move_left
go on to move left,move_left
persist in to move left,move_left
extend to move left,move_left
uphold to move left,move_left
stay to move left,move_left
continue to motivate left,move_left
continue to go left,move_left
continue to prompt left,move_left
continue to impress left,move_left
